proxy_id,port
83.167.203.174,50128
89.28.53.42,8080
95.216.49.153,8888
5.149.219.201,8080
176.98.22.116,8181
85.14.112.37,8090
78.46.251.251,80
85.187.184.129,8080
5.141.244.28,8080
51.91.13.141,80
88.255.102.102,8080
176.236.98.166,9090
195.154.173.28,80
95.216.97.14,8118
91.121.88.53,80
