username,user_id,access_hash,name,group,group_id,added
sd,1737415553,-2182751240487146414,Steward,DataMembers,1511010960,
sd,1808467034,6379429156305273106,Rebecca,DataMembers,1511010960,
sd,1826078500,-5155555559744090653,Jonathan,DataMembers,1511010960,
sd,1886376635,2472867095817777031,Pision,DataMembers,1511010960,
sd,1803876971,-6176091684414653204,Mark,DataMembers,1511010960,
sd,1864300381,5839017713401086323,Laura,DataMembers,1511010960,
sd,1751973952,7450626325586324590,Linda,DataMembers,1511010960,
sd,1848383890,5350486693806062470,Kevin,DataMembers,1511010960,
sd,1826013290,-4487252520086085802,James,DataMembers,1511010960,
sd,1892947088,-6165433277850381050,Josh,DataMembers,1511010960,
sd,1877315017,-2831116969939238766,Jennifer,DataMembers,1511010960,
sd,1819040095,6828213419375900814,Jasper,DataMembers,1511010960,
sd,1839504738,-5673551451920048983,John,DataMembers,1511010960,
sd,1862882072,5572403925366502220,Hannah,DataMembers,1511010960,
sd,1756184352,-4083318778769860542,Hillary,DataMembers,1511010960,
sd,1752802658,-9097073511454213902,Daniel,DataMembers,1511010960,
sd,1874564734,-2486835467352768518,Black,DataMembers,1511010960,
sd,1860235383,-6915229604530694609,Brian,DataMembers,1511010960
